"key","da","en"
"^aduro-native^translation:onboarding.progress.waitDeviceConnect",,"waiting for the stove to connect"
"^aduro-native^translation:onboarding.progress.addNetwork",,"registering the stove in the cloud"
"^aduro-native^translation:onboarding.progress.getSavedDetails",,"saving details"
"^aduro-native^translation:onboarding.progress.saveStoveDetails",,"$t(onboarding.progress.getSavedDetails)"
"^aduro-native^translation:onboarding.wifiScan.scanInProgress",,"retrieving Wi-Fi network list"
"^aduro-native^translation:onboarding.wifiScan.noWifiFound",,"no Wi-Fi networks were found. If your Wi-Fi access point is hidden, try manual setup"
"^aduro-native^translation:onboarding.wifiScan.foundWifi",,"Wi-Fi networks discovered by your device"
"^aduro-native^translation:onboarding.wifiScan.selectWifi",,"select an access points you want your IoT device to connect to"
"^aduro-native^translation:onboarding.wifiScan.scanAgain",,"scan again"
"^aduro-native^translation:onboarding.wifiScan.scanningInProgressInfo",,"your IoT device is scanning for nearby Wi-Fi networks. Please wait..."
"^aduro-native^translation:onboarding.wifiScan.hiddenNetworkInfo",,"your Wi-Fi network is 'hidden'?"
"^aduro-native^translation:onboarding.wifiScan.manualSetup",,"go to manual setup"
"^aduro-native^translation:onboarding.wifiScan.error.title",,"Wi-Fi scan failed"
"^aduro-native^translation:onboarding.wifiScan.error.description",,"you can close the setup flow and try again."
"^aduro-native^translation:onboarding.wifiConfig.title",,"configure Wi-Fi"
"^aduro-native^translation:onboarding.wifiConfig.intro",,"to setup Wi-Fi on your stove, please, enter required details below."
"^aduro-native^translation:onboarding.wifiConfig.warning5Ghz",,"Please, keep in mind that Wi-Fi setup may not be supported on 5GHz networks."
"^aduro-native^translation:onboarding.wifiConfig.settingUp",,"setting up"
"^aduro-native^translation:onboarding.wifiConfig.ssidLabel",,"Wi-Fi network"
"^aduro-native^translation:onboarding.wifiConfig.passwordLabel",,"Wi-Fi password"
"^aduro-native^translation:onboarding.wifiConfig.sendButton",,"configure"
"^aduro-native^translation:onboarding.wifiSetup.savingInProgress",,"saving stove details"
"^aduro-native^translation:onboarding.wifiSetup.setupInProgress",,"setting up"
"^aduro-native^translation:onboarding.wifiSetup.success.title",,"stove is connected to the cloud."
"^aduro-native^translation:onboarding.wifiSetup.success.description",,"you can now use all the features available in this app to remote control your stove and view the status."
"^aduro-native^translation:onboarding.wifiSetup.success.flowButton",,"go to the stove"
"^aduro-native^translation:onboarding.wifiSetup.error.title",,"Wi-Fi setup failed"
"^aduro-native^translation:onboarding.wifiSetup.error.description",,"Try again or close this setup to continue."
"^aduro-native^translation:onboarding.wifiSetup.error.flowButton",,"try again"
"^aduro-native^translation:onboarding.error.failedConnect",,"failed to connect to the stove."
"^aduro-native^translation:onboarding.error.failedRetrieve",,"failed to retrieve stove information."
"^aduro-native^translation:onboarding.error.failedRetrieveTimeout",,"failed to comunicate with the stove."
"^aduro-native^translation:onboarding.error.failedNotUuid",,"wrong ID was received from the stove."
"^aduro-native^translation:onboarding.error.failedInitNotification",,"failed to initialize notification listener."
"^aduro-native^translation:onboarding.error.failedNegotiateSecurity",,"failed to negotiate security."
"^aduro-native^translation:onboarding.error.failedNegotiateSecurityTimeout",,"the stove did not send back the security key."
"^aduro-native^translation:onboarding.error.failedGetDeviceWifiList",,"failed to get Wi-Fi list from the stove"
"^aduro-native^translation:onboarding.error.failedGetDeviceWifiListTimeout",,"stove did not send the list of access points"
"^aduro-native^translation:onboarding.error.failedSendWifiData",,"failed to send Wi-Fi data."
"^aduro-native^translation:onboarding.error.failedWaitDeviceConnect",,"the stove failed to connect to WiFi (timeout)."
"^aduro-native^translation:onboarding.error.failedSaveStoveDetails",,"Your stove is connected but some details have failed to save."
"^aduro-native^translation:onboarding.error.rserror",,""
"^aduro-native^translation:onboarding.error.generic",,"something went wrong."
"^aduro-native^translation:onboarding.customerDetails.title",,"contact information"
"^aduro-native^translation:onboarding.customerDetails.introText",,"please, fill out the details below to ensure we can provide support."
"^aduro-native^translation:onboarding.customerDetails.label.name",,"name (optional)"
"^aduro-native^translation:onboarding.customerDetails.label.email",,"email"
"^aduro-native^translation:onboarding.customerDetails.label.phone",,"phone (optional)"
"^aduro-native^translation:onboarding.customerDetails.label.address",,"address (optional)"
"^aduro-native^translation:onboarding.customerDetails.button.save",,"save and continue"
"^aduro-native^translation:onboarding.stoveInstallation.title",,"stove details"
"^aduro-native^translation:onboarding.stoveInstallation.introText",,"please, fill out the details below to ensure we can provide good service."
"^aduro-native^translation:onboarding.stoveInstallation.label.smokefanInstalled",,"Do you have smoke extractor fan installed"
"^aduro-native^translation:onboarding.stoveInstallation.label.yes",,"yes"
"^aduro-native^translation:onboarding.stoveInstallation.label.no",,"no"
"^aduro-native^translation:onboarding.stoveInstallation.button.save",,"save and continue"
"^aduro-native^translation:serviceMenu.introText",,"Enter password to access service menu"
"^aduro-native^translation:serviceMenu.validation.incorrectPassword",,"password is incorrect"
"^aduro-native^translation:serviceMenu.button.continue",,"continue"
"^aduro-native^translation:serviceMenu.button.refreshList",,"refresh list"
"^aduro-native^translation:serviceMenu.sectionTitle.fumeSpeed",,"fume speed"
"^aduro-native^translation:serviceMenu.sectionTitle.pellets",,"pellets"
"^aduro-native^translation:serviceMenu.sectionTitle.augerPower",,"auger power"
"^aduro-native^translation:serviceMenu.sectionTitle.cleaning",,"cleaning"
"^aduro-native^translation:serviceMenu.sectionTitle.other",,"other"
"^aduro-native^translation:serviceMenu.min",,"min"
"^aduro-native^translation:serviceMenu.max",,"max"
"^aduro-native^translation:serviceMenu.step",,"step size"
"^aduro-native^translation:serviceMenu.readonly",,"read only"
"^aduro-native^translation:TermsAndConditions.title",,"Terms and conditions agreement"
"^aduro-native^translation:TermsAndConditions.section1Header",,"1. Terms when you start up the Pellet Stove App"
"^aduro-native^translation:TermsAndConditions.section1Text",,"Congratulations with your new Aduro Pellet Stove.

In order to get the best possible pleasure and benefit from your new Pellet Stove, it is important that you read the user manual thoroughly before you install your Pellet Stove and start to use it. Errors or incorrect settings can cause hazardous conditions and/or poor operation. Pellet Stove complies with the EN 14785 European standards and is thereby approved for installation and use in Europe.

The Wi-Fi module has been approved according to CMIIT ID: 2016DP3252.All local regulations, including those referring to national and European standards must be observed when installing the appliance."
"^aduro-native^translation:TermsAndConditions.warning1Header",,"
WARNINGS & SAFETY PRECAUTIONS"
"^aduro-native^translation:TermsAndConditions.warning1Bulletpoints",,"• The product and the cladding must be stored in a dry place and must not be exposed to weathering.
 • Disconnect the product from the 230V power supply before performing any maintenance operation.
 • Improper use or poor maintenance of the product can cause hazardous situations to arise.
 • Do not place linen or other flammable materials on the stove to dry. Keep any flammable materials in safe distance to the stove according to the manual.
 • Failure to have the annual stove maintenance performed by an authorized technician or qualified personnel will result in the loss of the warranty.
"
"^aduro-native^translation:TermsAndConditions.section1Text2",,"The company declines all liability for any damage which may be caused, directly or indirectly, to persons, animals or objects as a consequence of non-compliance with any provision specified in the manual, especially warnings regarding installation, use and maintenance of the appliance.
"
"^aduro-native^translation:TermsAndConditions.section1Bulletpoints",,"• Installation, electrical connection, operating test and maintenance must be carried out by authorized and qualified personal.
 • Install the product in accordance with all local and national legislation and regulations in force in the region or state.
 • Keep flammable objects at a safe distance from the product due to fire hazard.
 • In the event of fire in the chimney, turn off the device, disconnect it from the mains electricity, close the air inlets and do not open the door. Then contact the competent authorities.
 • Use only the fuel recommended by Aduro AS. It is strictly forbidden to use any liquid fuels and bioethanol fluids for lighting/ rekindle charcoal or pellets. Keep these flammable liquids well away from the appliance when in use.
 • Do not put any fuel other than wood pellets in the silo/ tank.
 • This appliance can be used by children aged 12 years and above and persons with reduced physical, sensory or mental capabilities or lack of experience and knowledge if they have been given supervision or instruction concerning use of the appliance in a safe way and understand the hazards involved. Children must not play with the appliance. Children without supervision shall not carry out cleaning and maintenance.
 • Many of the surfaces of the product get very hot (door, handle, glass, smoke outlet pipes, etc.). Avoid coming into contact with these parts, without adequate protective clothing or suitable implements, such as gloves with thermal protection.
 • Do not operate the product with the glass broken.
 • The doors on the appliance must remain closed when it is not used.
 • The product must be powered by an electrical system that is equipped with an effective earthing device.
 • Switch the product off in the event of a fault or malfunction.
 • Accumulated unburned pellets in the burner/ cave after each “failed start-up” must be removed before lighting again. Check that the cave/ burner is clean and positioned properly before lighting again."
"^aduro-native^translation:TermsAndConditions.section1Text3",,"
All liability for improper use of the product is entirely borne by the user, and relieves the manufacturer from any civil and criminal liability. Tampering or unauthorized replacement with non-original spare parts could be hazardous for the operator’s safety and relieves the company from any civil and criminal liability."
"^aduro-native^translation:TermsAndConditions.section2Header",,"
2. When you connect to our Cloud you must accept the cloud terms"
"^aduro-native^translation:TermsAndConditions.section2Text",,"In order to get the best possible pleasure and benefit from your new Pellet Stove, it is important that you read the user manual thoroughly before you install your Pellet Stove and start to use it. Errors or incorrect settings can cause hazardous conditions and/or poor operation.
"
"^aduro-native^translation:TermsAndConditions.section2Text2",,"You are now connecting your Pellet Stove to our Cloud via your local Wi-Fi. Scroll down and click ""I accept"" when you are ready to continue. If you do not want to be connected to our cloud, you cannot click on ""I accept"" at the bottom. If you do not accept our conditions and terms regarding the cloud, you will only be able to operate your Pellet Stove when you are in close proximity. If you accept the connection to the cloud, you will be able to access Aduro Pellet Stove data wherever you are and remotely control the stove. The only condition is that you have sufficient stable and strong wi-fi signal / access to the Internet.
"
"^aduro-native^translation:TermsAndConditions.section2Text3",,"Do not place linen or other flammable materials on the stove to dry. Keep any flammable materials in safe distance to the stove according to the manual."
"^aduro-native^translation:TermsAndConditions.permissionHeader",,"
Permission"
"^aduro-native^translation:TermsAndConditions.permissionText",,"I hereby give permission to Aduro, to gather and use combustion data among others to improve usage, service and quality. Aduro may contact me both regarding technical services and for marketing issues."
"^aduro-native^translation:TermsAndConditions.privacyHeader",,"
Privacy policy:"
"^aduro-native^translation:TermsAndConditions.privacyText",,"The personal information we collect provides us with the possibility to keep you informed of latest software updates for the Pellet Stove stoves management and App. We collect and use the available information about the stoves operation to develop, deliver, manage and improve our products and services. If you have entered into a service contract with an Aduro partner, you can give access to the partner and he can follow the stoves operating data via cloud connection, allowing you to get online advice and adjustment."
"^aduro-native^translation:TermsAndConditions.disclosureHeader",,"
Disclosure of information to third parties:"
"^aduro-native^translation:TermsAndConditions.diclosureText",,"Our cloud solution is developed and operated by Aduro AS and Seluxit A/S. Neither Seluxit A/S nor Aduro AS discloses your personal data or the stoves operating data to third parties. When using Aduro Cloud, you accept the following conditions:
"
"^aduro-native^translation:TermsAndConditions.diclosurePoint",,"1. The use of Aduro Cloud is on your own responsibility. The cloud enables you to adjust parameters that affect the stoves settings. Therefore, always be in the same room as the stove, when changing in the stoves settings.

 2. We emphasize that alarm cancellation must not be performed unless you are fully aware of the reason for the alarm and subsequently have the option of physical monitoring of the stove.

 3. Aduro AS and Seluxit A/S can not be held responsible for any consequential effects of incorrectly set values, which are both intentionally and unintentionally possible. Due to errors and other issues in the cloud software.

 4. If you are in doubt about setup via the cloud system, you should apply for qualified support at either Aduro AS or one of our Aduro partners.

 5. The cloud service may sometimes have connection issues, but these will be fixed as soon as possible. Aduro A/S and Seluxit A/S cannot be held liable for loss due to a lack of connection.

 6. Any form of hacking, including simple retrieval of other users' passwords, will result in police notification and permanent exclusion from the service."
